Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2013-08-30T02:17:56.000,	52.0,	30.0,	13.0,	26.0,	1.0,	0.0
2013-08-30T02:18:00.000,	52.0,	30.0,	14.0,	24.0,	1.0,	0.0
2013-08-30T02:18:04.000,	52.0,	32.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:18:08.000,	48.0,	28.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:12.000,	40.0,	24.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:16.000,	44.0,	24.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:18:20.000,	48.0,	26.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:24.000,	56.0,	28.0,	14.0,	26.0,	1.0,	0.0
2013-08-30T02:18:28.000,	46.0,	28.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:32.000,	46.0,	26.0,	14.0,	22.0,	1.0,	0.0
2013-08-30T02:18:36.000,	48.0,	24.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:18:40.000,	48.0,	26.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:44.000,	48.0,	26.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:48.000,	44.0,	24.0,	12.0,	26.0,	1.0,	0.0
2013-08-30T02:18:52.000,	46.0,	26.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:18:56.000,	48.0,	28.0,	12.0,	22.0,	1.0,	0.0
2013-08-30T02:19:00.000,	52.0,	30.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:19:04.000,	48.0,	26.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:19:08.000,	52.0,	30.0,	12.0,	26.0,	1.0,	0.0
2013-08-30T02:19:12.000,	52.0,	32.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:19:16.000,	52.0,	26.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:19:20.000,	52.0,	32.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:19:24.000,	48.0,	26.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:19:28.000,	56.0,	30.0,	13.0,	20.0,	1.0,	0.0
2013-08-30T02:19:32.000,	52.0,	30.0,	12.0,	26.0,	1.0,	0.0
2013-08-30T02:19:36.000,	48.0,	28.0,	11.0,	26.0,	1.0,	0.0
2013-08-30T02:19:40.000,	48.0,	26.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:19:44.000,	48.64,	26.4,	11.8,	24.08,	1.0,	0.0
2013-08-30T02:19:48.000,	49.13,	26.22,	11.89,	23.66,	1.0,	0.0
2013-08-30T02:19:52.000,	49.66,	26.24,	11.88,	23.41,	1.0,	0.0
2013-08-30T02:19:56.000,	50.18,	26.16,	11.92,	23.07,	0.0,	0.0
2013-08-30T02:20:00.000,	50.69,	26.1,	11.95,	22.75,	0.0,	0.0
2013-08-30T02:20:04.000,	51.2,	26.0,	12.0,	22.4,	0.0,	0.0
2013-08-30T02:20:08.000,	51.73,	26.0,	12.0,	22.13,	0.0,	0.0
2013-08-30T02:20:12.000,	52.27,	26.0,	12.0,	21.87,	0.0,	0.0
2013-08-30T02:20:16.000,	52.8,	26.0,	12.0,	21.6,	0.0,	0.0
2013-08-30T02:20:20.000,	53.33,	26.0,	12.0,	21.33,	0.0,	0.0
2013-08-30T02:20:24.000,	53.87,	26.0,	12.0,	21.07,	1.0,	0.0
2013-08-30T02:20:28.000,	54.38,	26.08,	12.0,	20.97,	1.0,	0.0
2013-08-30T02:20:32.000,	54.93,	26.0,	12.0,	20.53,	1.0,	0.0
2013-08-30T02:20:36.000,	55.36,	26.4,	12.0,	21.12,	1.0,	0.0
2013-08-30T02:20:40.000,	56.0,	26.0,	12.0,	20.0,	1.0,	0.0
2013-08-30T02:20:44.000,	56.0,	28.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:20:48.000,	56.0,	28.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:20:52.000,	46.0,	22.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:20:56.000,	52.0,	24.0,	12.0,	24.0,	1.0,	0.0
2013-08-30T02:21:00.000,	52.0,	24.0,	13.0,	22.0,	1.0,	0.0
2013-08-30T02:21:04.000,	60.0,	28.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:21:08.000,	56.0,	24.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:12.000,	52.0,	26.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:16.000,	52.0,	22.0,	12.0,	22.0,	1.0,	0.0
2013-08-30T02:21:20.000,	60.0,	26.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:24.000,	52.0,	22.0,	13.0,	24.0,	1.0,	0.0
2013-08-30T02:21:28.000,	52.0,	24.0,	12.0,	22.0,	1.0,	0.0
2013-08-30T02:21:32.000,	56.0,	26.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:36.000,	52.0,	22.0,	10.0,	24.0,	1.0,	0.0
2013-08-30T02:21:40.000,	52.0,	22.0,	12.0,	20.0,	1.0,	0.0
2013-08-30T02:21:44.000,	52.0,	22.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:48.000,	52.0,	22.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:52.000,	48.0,	20.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:21:56.000,	60.0,	24.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:22:00.000,	52.0,	18.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:22:04.000,	56.0,	20.0,	11.0,	20.0,	1.0,	0.0
2013-08-30T02:22:08.000,	52.0,	20.0,	11.0,	20.0,	1.0,	0.0
2013-08-30T02:22:12.000,	60.0,	22.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:22:16.000,	48.0,	18.0,	9.0,	22.0,	1.0,	0.0
2013-08-30T02:22:20.000,	60.0,	20.0,	12.0,	20.0,	1.0,	0.0
2013-08-30T02:22:24.000,	48.0,	18.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:22:28.000,	56.0,	20.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:22:32.000,	56.0,	20.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:22:36.000,	52.0,	18.0,	10.0,	22.0,	1.0,	0.0
2013-08-30T02:22:40.000,	48.0,	18.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:22:44.000,	46.0,	16.0,	10.0,	22.0,	1.0,	0.0
2013-08-30T02:22:48.000,	48.0,	16.0,	10.0,	22.0,	1.0,	0.0
2013-08-30T02:22:52.000,	52.0,	20.0,	10.0,	22.0,	1.0,	0.0
2013-08-30T02:22:56.000,	48.0,	18.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:23:00.000,	60.0,	20.0,	11.0,	24.0,	1.0,	0.0
2013-08-30T02:23:04.000,	56.0,	18.0,	11.0,	22.0,	1.0,	0.0
2013-08-30T02:23:08.000,	64.0,	24.0,	10.0,	20.0,	1.0,	0.0
2013-08-30T02:23:12.000,	64.0,	24.0,	10.0,	22.0,	1.0,	0.0
2013-08-30T02:23:16.000,	56.0,	20.0,	11.0,	20.0,	1.0,	0.0
2013-08-30T02:23:20.000,	56.0,	24.0,	10.0,	24.0,	1.0,	0.0
2013-08-30T02:23:24.000,	56.0,	22.0,	10.0,	24.0,	1.0,	0.0
2013-08-30T02:23:28.000,	60.0,	22.0,	10.0,	20.0,	1.0,	0.0
2013-08-30T02:23:32.000,	52.0,	24.0,	9.0,	22.0,	1.0,	0.0
2013-08-30T02:23:36.000,	64.0,	24.0,	11.0,	22.0,	1.0,	0.0
