Time (UT), 	 6-12 keV, 	 12-25 keV, 	 25-50 keV, 	 50-100 keV, 	 Attenuator State, 	 Eclipse State 
2011-02-15T01:40:08.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:12.000,	16.47,	6.0,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:40:16.000,	16.47,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:20.000,	15.44,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:24.000,	15.44,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:28.000,	16.47,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:40:32.000,	14.93,	6.4,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:40:36.000,	15.44,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:40:40.000,	15.44,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:40:44.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:48.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:40:52.000,	15.44,	7.2,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:40:56.000,	15.44,	7.2,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:41:00.000,	15.44,	7.2,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:41:04.000,	15.44,	6.4,	16.62,	49.64,	0.0,	0.0
2011-02-15T01:41:08.000,	15.44,	6.4,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:41:12.000,	14.93,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:41:16.000,	15.44,	7.2,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:41:20.000,	14.93,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:41:24.000,	14.93,	6.4,	16.62,	43.91,	0.0,	0.0
2011-02-15T01:41:28.000,	14.41,	6.4,	18.46,	49.64,	0.0,	0.0
2011-02-15T01:41:32.000,	15.44,	7.2,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:41:36.000,	12.35,	6.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:41:40.000,	13.38,	6.0,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:41:44.000,	13.38,	6.4,	18.46,	43.91,	0.0,	0.0
2011-02-15T01:41:48.000,	13.38,	6.4,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:41:52.000,	12.87,	6.0,	18.46,	45.82,	0.0,	0.0
2011-02-15T01:41:56.000,	12.87,	6.4,	16.62,	45.82,	0.0,	0.0
2011-02-15T01:42:00.000,	12.35,	6.4,	16.62,	45.82,	0.0,	0.0
